SampleID,Species,Location,Date,Latitude,Longitude,Elevation,SampleName,Population
LBM01A02,Eucalyptus melliodora,NA,NA,-36.632668,144.35019,178,LB-U-9,LB-U
LBM01A03,Eucalyptus melliodora,NA,NA,-35.819633,145.31187,101,LB-P-7,LB-P
LBM01A09,Eucalyptus melliodora,NA,NA,-33.423,149.752,844,LB-V-2,LB-V
LBM01A12,Eucalyptus melliodora,NA,NA,-33.416668,149.55055,712,LB-1-6,LB-1
LBM01B01,Eucalyptus melliodora,NA,NA,-36.632668,144.35019,178,LB-U-2,LB-U
LBM01B02,Eucalyptus melliodora,NA,NA,-36.632668,144.35019,178,LB-U-10,LB-U
LBM01B03,Eucalyptus melliodora,NA,NA,-35.819633,145.31187,101,LB-P-8,LB-P
LBM01B05,Eucalyptus melliodora,NA,NA,-36.42797,144.41092,114,LB-W1-4,LB-W1
LBM01B06,Eucalyptus melliodora,NA,NA,-36.63518,149.56728,186,LB-H-2,LB-H
LBM01B07,Eucalyptus melliodora,NA,NA,-36.63518,149.56728,186,LB-H-10,LB-H
LBM01B08,Eucalyptus melliodora,NA,NA,-36.3675,145.70232,268,LB-D-5,LB-D
LBM01B09,Eucalyptus melliodora,NA,NA,-33.423,149.752,844,LB-V-3,LB-V
LBM01B10,Eucalyptus melliodora,NA,NA,-36.388,146.481,181,LB-A-2,LB-A
LBM01B12,Eucalyptus melliodora,NA,NA,-33.416668,149.55055,712,LB-1-7,LB-1
LBM01C01,Eucalyptus melliodora,NA,NA,-36.632668,144.35019,178,LB-U-3,LB-U
LBM01C02,Eucalyptus melliodora,NA,NA,-35.819633,145.31187,101,LB-P-1,LB-P
LBM01C03,Eucalyptus melliodora,NA,NA,-35.819633,145.31187,101,LB-P-9,LB-P
LBM01C04,Eucalyptus melliodora,NA,NA,-36.86476,148.85016,638,LB-G-7,LB-G
LBM01C05,Eucalyptus melliodora,NA,NA,-36.42797,144.41092,114,LB-W1-5,LB-W1
LBM01C06,Eucalyptus melliodora,NA,NA,-36.63518,149.56728,186,LB-H-3,LB-H
LBM01C08,Eucalyptus melliodora,NA,NA,-36.3675,145.70232,268,LB-D-6,LB-D
LBM01C09,Eucalyptus melliodora,NA,NA,-33.423,149.752,844,LB-V-4,LB-V
LBM01C10,Eucalyptus melliodora,NA,NA,-36.388,146.481,181,LB-A-3,LB-A
LBM01C12,Eucalyptus melliodora,NA,NA,-33.416668,149.55055,712,LB-1-8,LB-1
LBM01D01,Eucalyptus melliodora,NA,NA,-36.632668,144.35019,178,LB-U-4,LB-U
LBM01D03,Eucalyptus melliodora,NA,NA,-35.819633,145.31187,101,LB-P-10,LB-P
LBM01D05,Eucalyptus melliodora,NA,NA,-36.42797,144.41092,114,LB-W1-6,LB-W1
LBM01D06,Eucalyptus melliodora,NA,NA,-36.63518,149.56728,186,LB-H-4,LB-H
LBM01D09,Eucalyptus melliodora,NA,NA,-33.423,149.752,844,LB-V-5,LB-V
LBM01D10,Eucalyptus melliodora,NA,NA,-36.388,146.481,181,LB-A-4,LB-A
LBM01D11,Eucalyptus melliodora,NA,NA,-33.416668,149.55055,712,LB-1-1,LB-1
LBM01D12,Eucalyptus melliodora,NA,NA,-33.416668,149.55055,712,LB-1-9,LB-1
LBM01E01,Eucalyptus melliodora,NA,NA,-36.632668,144.35019,178,LB-U-5,LB-U
LBM01E02,Eucalyptus melliodora,NA,NA,-35.819633,145.31187,101,LB-P-3,LB-P
LBM01E03,Eucalyptus melliodora,NA,NA,-36.86476,148.85016,638,LB-G-1,LB-G
LBM01E04,Eucalyptus melliodora,NA,NA,-36.86476,148.85016,638,LB-G-9,LB-G
LBM01E06,Eucalyptus melliodora,NA,NA,-36.63518,149.56728,186,LB-H-5,LB-H
LBM01E08,Eucalyptus melliodora,NA,NA,-36.3675,145.70232,268,LB-D-8,LB-D
LBM01E09,Eucalyptus melliodora,NA,NA,-33.423,149.752,844,LB-V-6,LB-V
LBM01E12,Eucalyptus melliodora,NA,NA,-33.416668,149.55055,712,LB-1-10,LB-1
LBM01F01,Eucalyptus melliodora,NA,NA,-36.632668,144.35019,178,LB-U-6,LB-U
LBM01F02,Eucalyptus melliodora,NA,NA,-35.819633,145.31187,101,LB-P-4,LB-P
LBM01F03,Eucalyptus melliodora,NA,NA,-36.86476,148.85016,638,LB-G-2,LB-G
LBM01F05,Eucalyptus melliodora,NA,NA,-36.42797,144.41092,114,LB-W1-8,LB-W1
LBM01F06,Eucalyptus melliodora,NA,NA,-36.63518,149.56728,186,LB-H-6,LB-H
